Date,HT,AT,HS,AS
2010-04-11,Colo Colo,Palestino,3,0
2010-04-11,Universidad de Concepcion,Huachipato,0,2
2010-07-10,Cobreloa,Universidad de Chile,0,2
2010-04-16,Santiago Morning,Cobreloa,0,0
2010-04-17,Audax Italiano,Wanderers,0,4
2010-04-17,La Serena,Universidad Catolica,1,1
2010-04-17,Universidad de Chile,Universidad de Concepcion,4,2
2010-04-18,Huachipato,Colo Colo,1,2
2010-04-18,Everton,Cobresal,2,2
2010-04-18,Unión Española,San Luis,2,1
2010-04-18,San Felipe,Palestino,1,1
2010-04-18,Ñublense,O'Higgins,0,3
2010-04-24,Universidad de Concepcion,Audax Italiano,1,3
2010-04-24,San Luis,Santiago Morning,2,2
2010-04-24,O'Higgins,Huachipato,0,0
2010-04-25,Colo Colo,Universidad de Chile,1,0
2010-04-25,Cobreloa,La Serena,4,0
2010-04-25,Wanderers,Unión Española,1,1
2010-04-25,Cobresal,Ñublense,0,0
2010-04-25,Universidad Catolica,San Felipe,2,1
2010-04-25,Palestino,Everton,2,2
2010-04-30,San Felipe,Cobresal,1,0
2010-04-30,Huachipato,Universidad Catolica,1,3
2010-04-30,Santiago Morning,Colo Colo,0,2
2010-05-02,Unión Española,Cobreloa,3,1
2010-05-02,Ñublense,Wanderers,2,2
2010-05-02,Universidad de Chile,San Luis,4,0
2010-05-02,Audax Italiano,Palestino,1,3
2010-05-02,Everton,O'Higgins,1,0
2010-05-02,La Serena,Universidad de Concepcion,0,0
2010-05-09,Cobresal,Colo Colo,2,5
2010-05-09,Santiago Morning,Audax Italiano,0,1
2010-05-09,O'Higgins,Unión Española,0,0
2010-05-10,Universidad de Chile,Universidad Catolica,1,2
2010-05-10,Palestino,La Serena,3,0
2010-05-10,San Felipe,Everton,1,3
2010-05-10,Wanderers,San Luis,0,2
2010-05-10,Universidad de Concepcion,Ñublense,4,1
2010-05-10,Cobreloa,Huachipato,1,1
2010-07-16,Unión Española,San Felipe,1,2
2010-07-17,Ñublense,Universidad de Chile,0,2
2010-07-17,Audax Italiano,Everton,2,0
2010-07-18,Wanderers,Universidad de Concepcion,1,0
2010-07-18,San Luis,Palestino,0,0
2010-07-18,Colo Colo,O'Higgins,2,0
2010-07-18,La Serena,Cobresal,3,0
2010-07-18,Huachipato,Santiago Morning,1,0
2010-07-18,Universidad Catolica,Cobreloa,2,1
2010-07-22,Universidad de Chile,Audax Italiano,2,2
2010-07-24,Everton,Universidad Catolica,1,1
2010-07-24,O'Higgins,La Serena,4,0
2010-07-25,Cobreloa,San Luis,5,0
2010-07-25,San Felipe,Ñublense,3,1
2010-07-25,Santiago Morning,Wanderers,2,1
2010-07-25,Cobresal,Unión Española,1,0
2010-07-25,Palestino,Huachipato,2,1
2010-07-25,Universidad de Concepcion,Colo Colo,2,0
2010-07-31,San Luis,Huachipato,1,4
2010-07-31,Universidad Catolica,O'Higgins,4,1
2010-08-01,Universidad de Concepcion,Palestino,1,0
2010-08-01,Ñublense,Audax Italiano,1,5
2010-08-01,La Serena,Santiago Morning,2,0
2010-08-01,Wanderers,Cobreloa,2,1
2010-08-01,Colo Colo,San Felipe,5,2
2010-09-05,Cobresal,Universidad de Chile,1,2
2010-09-05,Unión Española,Everton,2,3
2010-08-06,Audax Italiano,Unión Española,5,2
2010-08-07,Cobreloa,Colo Colo,2,1
2010-08-07,O'Higgins,San Luis,0,0
2010-08-08,Universidad de Chile,La Serena,1,2
2010-08-08,Palestino,Universidad Catolica,0,1
2010-08-08,Santiago Morning,Cobresal,1,1
2010-08-08,Huachipato,Wanderers,3,2
2010-08-08,San Felipe,Universidad de Concepcion,0,0
2010-09-08,Everton,Ñublense,2,3
2010-08-13,Audax Italiano,San Felipe,1,0
2010-08-14,Wanderers,Colo Colo,0,1
2010-08-14,Unión Española,Palestino,3,2
2010-08-14,Universidad de Concepcion,O'Higgins,2,1
2010-08-15,Ñublense,Huachipato,1,1
2010-08-15,Santiago Morning,Universidad Catolica,0,2
2010-08-15,San Luis,La Serena,0,1
2010-08-15,Cobresal,Cobreloa,0,1
2010-08-15,Universidad de Chile,Everton,5,1
2010-08-20,O'Higgins,Cobresal,0,1
2010-08-21,Huachipato,Universidad de Chile,1,2
2010-08-21,Universidad Catolica,San Luis,4,1
2010-08-22,Palestino,Ñublense,2,0
2010-08-22,San Felipe,Santiago Morning,1,0
2010-08-22,Everton,Universidad de Concepcion,1,1
2010-08-22,La Serena,Wanderers,4,0
2010-08-22,Cobreloa,Audax Italiano,1,1
2010-08-22,Colo Colo,Unión Española,1,0
2010-08-27,Universidad de Chile,Wanderers,1,0
2010-08-28,Palestino,Santiago Morning,2,1
2010-08-28,Everton,San Luis,1,1
2010-08-28,Cobresal,Universidad Catolica,3,1
2010-08-28,Unión Española,Huachipato,5,0
2010-08-28,Universidad de Concepcion,Cobreloa,3,0
2010-08-28,San Felipe,La Serena,1,0
2010-08-29,Ñublense,Colo Colo,0,0
2010-08-29,Audax Italiano,O'Higgins,2,1
2010-09-10,Universidad Catolica,Unión Española,2,0
2010-09-11,La Serena,Ñublense,1,0
2010-09-12,O'Higgins,San Felipe,1,2
2010-09-12,Cobreloa,Palestino,0,0
2010-09-12,Wanderers,Cobresal,0,4
2010-09-12,Huachipato,Everton,1,1
2010-09-12,Colo Colo,Audax Italiano,1,3
2010-09-13,Santiago Morning,Universidad de Chile,1,2
2010-09-15,San Luis,Universidad de Concepcion,1,0
2010-09-17,Palestino,Wanderers,0,1
2010-09-17,San Felipe,Cobreloa,1,0
2010-09-17,Cobresal,Huachipato,2,1
2010-09-17,Unión Española,Santiago Morning,2,2
2010-09-17,Audax Italiano,La Serena,2,1
2010-09-19,Ñublense,San Luis,4,0
2010-09-19,Universidad de Concepcion,Universidad Catolica,2,2
2010-09-22,Universidad de Chile,O'Higgins,0,1
2010-09-29,Everton,Colo Colo,0,2
2010-09-24,San Luis,Cobresal,1,1
2010-09-25,Unión Española,Universidad de Concepcion,3,0
2010-09-25,Santiago Morning,Everton,3,0
2010-09-25,Universidad Catolica,Audax Italiano,2,3
2010-09-26,La Serena,Colo Colo,1,2
2010-09-26,Wanderers,O'Higgins,1,1
2010-09-26,Cobreloa,Ñublense,3,2
2010-09-26,Huachipato,San Felipe,1,1
2010-09-26,Universidad de Chile,Palestino,1,2
2010-10-01,Audax Italiano,Huachipato,1,1
2010-10-01,San Felipe,Universidad de Chile,1,2
2010-10-02,Universidad Catolica,Wanderers,3,1
2010-10-02,Universidad de Concepcion,Santiago Morning,0,0
2010-10-02,Colo Colo,San Luis,3,1
2010-10-03,Palestino,Cobresal,1,0
2010-10-03,O'Higgins,Cobreloa,2,2
2010-10-03,Ñublense,Unión Española,1,1
2010-10-03,Everton,La Serena,3,3
2010-10-15,Huachipato,La Serena,0,0
2010-10-16,Wanderers,San Felipe,2,1
2010-10-16,Unión Española,Universidad de Chile,2,1
2010-10-16,San Luis,Audax Italiano,1,2
2010-10-17,Cobresal,Universidad de Concepcion,3,1
2010-10-17,Cobreloa,Everton,4,0
2010-10-17,O'Higgins,Palestino,4,1
2010-10-17,Santiago Morning,Ñublense,4,1
2010-10-17,Colo Colo,Universidad Catolica,3,2
2010-10-21,Audax Italiano,Cobresal,4,2
2010-10-21,Palestino,Colo Colo,1,2
2010-10-23,Everton,Wanderers,0,2
2010-10-23,Huachipato,Universidad de Concepcion,3,0
2010-10-24,La Serena,Unión Española,3,1
2010-10-24,San Felipe,San Luis,3,0
2010-10-24,Santiago Morning,O'Higgins,2,1
2010-10-24,Ñublense,Universidad Catolica,1,4
2010-10-25,Universidad de Chile,Cobreloa,3,1
2010-10-29,San Luis,Unión Española,3,1
2010-10-30,O'Higgins,Ñublense,2,2
2010-10-30,Universidad Catolica,La Serena,2,1
2010-10-31,Cobreloa,Santiago Morning,2,1
2010-10-31,Universidad de Concepcion,Universidad de Chile,2,0
2010-10-31,Cobresal,Everton,1,2
2010-10-31,Wanderers,Audax Italiano,1,0
2010-10-31,Palestino,San Felipe,1,0
2010-10-31,Colo Colo,Huachipato,0,0
2010-11-05,Audax Italiano,Universidad de Concepcion,4,1
2010-11-06,San Felipe,Universidad Catolica,1,3
2010-11-06,La Serena,Cobreloa,1,0
2010-11-06,Everton,Palestino,1,1
2010-11-06,Unión Española,Wanderers,3,0
2010-11-07,Universidad de Chile,Colo Colo,2,2
2010-11-07,Santiago Morning,San Luis,2,0
2010-11-07,Ñublense,Cobresal,3,1
2010-11-07,Huachipato,O'Higgins,2,1
2010-11-12,Universidad Catolica,Huachipato,2,0
2010-11-13,San Luis,Universidad de Chile,0,3
2010-11-13,Universidad de Concepcion,La Serena,1,0
2010-11-13,Colo Colo,Santiago Morning,0,1
2010-11-14,Cobresal,San Felipe,0,0
2010-11-14,Palestino,Audax Italiano,2,5
2010-11-14,Wanderers,Ñublense,2,2
2010-11-14,Cobreloa,Unión Española,3,1
2010-11-14,O'Higgins,Everton,0,0
2010-11-19,San Luis,Wanderers,3,4
2010-11-20,Everton,San Felipe,3,0
2010-11-20,Colo Colo,Cobresal,1,0
2010-11-21,Universidad Catolica,Universidad de Chile,4,2
2010-11-21,La Serena,Palestino,2,0
2010-11-21,Ñublense,Universidad de Concepcion,2,2
2010-11-21,Huachipato,Cobreloa,2,0
2010-11-21,Audax Italiano,Santiago Morning,1,0
2010-11-21,Unión Española,O'Higgins,1,1
2010-11-26,San Felipe,Unión Española,2,4
2010-11-27,Cobreloa,Universidad Catolica,2,3
2010-11-27,Everton,Audax Italiano,1,2
2010-11-27,Universidad de Concepcion,Wanderers,1,2
2010-11-28,Santiago Morning,Huachipato,0,3
2010-11-28,O'Higgins,Colo Colo,2,1
2010-11-28,Palestino,San Luis,3,2
2010-11-28,Cobresal,La Serena,0,2
2010-11-28,Universidad de Chile,Ñublense,1,2
2010-12-03,Audax Italiano,Universidad de Chile,1,2
2010-12-04,La Serena,O'Higgins,4,2
2010-12-04,Unión Española,Cobresal,2,0
2010-12-05,Wanderers,Santiago Morning,1,1
2010-12-05,Huachipato,Palestino,0,0
2010-12-05,San Luis,Cobreloa,2,1
2010-12-05,Ñublense,San Felipe,2,0
2010-12-05,Colo Colo,Universidad de Concepcion,4,2
2010-12-05,Universidad Catolica,Everton,5,0
2011-06-09,Universidad de Chile,Universidad Catolica,0,2
2011-06-12,Universidad Catolica,Universidad de Chile,1,4
2011-06-01,O'Higgins,Universidad de Chile,0,1
2011-06-04,Universidad de Chile,O'Higgins,7,1
2011-06-02,Union Calera,Universidad Catolica,2,1
2011-06-05,Universidad Catolica,Union Calera,1,0
2011-05-25,San Felipe,Universidad de Chile,1,2
2011-05-28,Universidad de Chile,San Felipe,1,1
2011-05-25,O'Higgins,Palestino,1,1
2011-05-28,Palestino,O'Higgins,0,3
2011-05-26,Union Calera,Unión Española,1,0
2011-05-29,Unión Española,Union Calera,0,0
2011-05-26,Colo Colo,Universidad Catolica,2,4
2011-05-29,Universidad Catolica,Colo Colo,1,1
2011-01-28,Iquique,Universidad Catolica,0,2
2011-01-29,Audax Italiano,Palestino,1,3
2011-01-29,La Serena,Universidad de Chile,1,1
2011-01-29,Huachipato,Universidad de Concepcion,1,0
2011-01-29,Ñublense,Wanderers,2,0
2011-01-30,San Felipe,O'Higgins,3,1
2011-01-30,Colo Colo,Cobresal,0,3
2011-01-30,Santiago Morning,Union Calera,1,1
2011-01-30,Unión Española,Cobreloa,0,2
2011-02-04,Universidad Catolica,Audax Italiano,3,1
2011-02-05,Cobresal,Huachipato,3,2
2011-02-05,Wanderers,Colo Colo,2,1
2011-02-05,Universidad de Concepcion,La Serena,0,0
2011-02-05,Universidad de Chile,Ñublense,3,1
2011-02-06,Cobreloa,Iquique,0,0
2011-02-06,Santiago Morning,O'Higgins,2,4
2011-02-06,Palestino,Unión Española,1,2
2011-02-06,Union Calera,San Felipe,1,0
2011-02-11,Unión Española,Wanderers,2,1
2011-02-12,Union Calera,Universidad Catolica,2,1
2011-02-12,Huachipato,Ñublense,3,1
2011-02-12,La Serena,Santiago Morning,0,0
2011-02-12,Colo Colo,Universidad de Concepcion,1,5
2011-02-12,Iquique,San Felipe,1,1
2011-02-13,Cobreloa,Universidad de Chile,1,4
2011-02-13,Audax Italiano,Cobresal,3,2
2011-03-28,O'Higgins,Palestino,1,2
2011-02-18,Wanderers,Palestino,1,1
2011-02-18,La Serena,Audax Italiano,2,3
2011-02-18,Ñublense,O'Higgins,2,3
2011-02-19,Cobresal,Union Calera,3,1
2011-02-19,Santiago Morning,Iquique,3,1
2011-02-19,Universidad de Concepcion,Cobreloa,0,1
2011-02-19,Universidad Catolica,Huachipato,2,1
2011-02-20,San Felipe,Colo Colo,2,0
2011-02-20,Universidad de Chile,Unión Española,2,1
2011-02-22,O'Higgins,Universidad Catolica,2,3
2011-02-22,Union Calera,La Serena,2,0
2011-02-22,Ñublense,Cobreloa,2,1
2011-02-23,Audax Italiano,San Felipe,2,1
2011-02-23,Huachipato,Wanderers,3,1
2011-02-23,Palestino,Colo Colo,0,3
2011-02-23,Iquique,Universidad de Concepcion,1,3
2011-02-24,Unión Española,Cobresal,3,0
2011-02-24,Universidad de Chile,Santiago Morning,1,2
2011-02-25,La Serena,O'Higgins,1,2
2011-02-26,Universidad Catolica,Wanderers,1,1
2011-02-27,Cobreloa,Union Calera,0,1
2011-02-27,Cobresal,Palestino,2,1
2011-02-27,Iquique,Ñublense,2,1
2011-02-27,Universidad de Concepcion,Universidad de Chile,1,5
2011-02-27,Santiago Morning,Audax Italiano,2,2
2011-02-27,San Felipe,Unión Española,1,1
2011-03-26,Colo Colo,Huachipato,1,2
2011-03-04,Audax Italiano,Cobreloa,1,0
2011-03-05,O'Higgins,Cobresal,3,0
2011-03-05,Huachipato,Iquique,3,1
2011-03-05,Universidad de Chile,San Felipe,0,2
2011-03-05,Ñublense,La Serena,2,3
2011-03-06,Union Calera,Universidad de Concepcion,2,0
2011-03-06,Wanderers,Santiago Morning,4,1
2011-03-06,Unión Española,Colo Colo,1,2
2011-03-06,Palestino,Universidad Catolica,1,2
2011-03-11,Colo Colo,Union Calera,2,0
2011-03-12,San Felipe,Huachipato,2,1
2011-03-12,Universidad de Concepcion,Audax Italiano,1,0
2011-03-13,Cobreloa,O'Higgins,2,3
2011-03-13,La Serena,Palestino,2,3
2011-03-13,Iquique,Wanderers,4,1
2011-03-13,Santiago Morning,Unión Española,1,1
2011-03-13,Universidad Catolica,Ñublense,2,0
2011-03-24,Cobresal,Universidad de Chile,2,5
2011-03-18,Universidad Catolica,Santiago Morning,2,1
2011-03-19,O'Higgins,Universidad de Chile,1,1
2011-03-19,Ñublense,San Felipe,1,0
2011-03-19,Unión Española,Iquique,3,0
2011-03-19,Huachipato,La Serena,0,4
2011-03-20,Palestino,Universidad de Concepcion,3,2
2011-03-20,Colo Colo,Cobreloa,1,1
2011-03-20,Wanderers,Cobresal,3,0
2011-03-20,Union Calera,Audax Italiano,3,1
2011-03-31,Unión Española,Union Calera,3,1
2011-04-02,San Felipe,Universidad Catolica,1,2
2011-04-02,Universidad de Concepcion,O'Higgins,0,1
2011-04-02,La Serena,Iquique,0,0
2011-04-03,Santiago Morning,Huachipato,1,1
2011-04-03,Cobreloa,Palestino,1,0
2011-04-03,Cobresal,Ñublense,1,2
2011-04-03,Audax Italiano,Colo Colo,2,1
2011-04-03,Universidad de Chile,Wanderers,4,1
2011-04-08,Wanderers,San Felipe,1,2
2011-04-09,Palestino,Union Calera,1,1
2011-04-09,Huachipato,Audax Italiano,1,1
2011-04-09,Colo Colo,La Serena,4,1
2011-04-09,Iquique,Universidad de Chile,2,2
2011-04-10,Ñublense,Santiago Morning,1,1
2011-04-10,O'Higgins,Unión Española,0,0
2011-04-10,Cobresal,Universidad de Concepcion,4,3
2011-04-10,Universidad Catolica,Cobreloa,2,0
2011-04-15,San Felipe,Santiago Morning,3,1
2011-04-16,Union Calera,Universidad de Chile,0,2
2011-04-16,Palestino,Iquique,1,0
2011-04-16,Universidad de Concepcion,Ñublense,1,0
2011-04-16,Audax Italiano,O'Higgins,1,3
2011-04-17,La Serena,Wanderers,3,1
2011-04-17,Cobreloa,Cobresal,1,0
2011-04-17,Colo Colo,Universidad Catolica,1,1
2011-04-17,Unión Española,Huachipato,4,2
2011-04-21,Ñublense,Unión Española,0,5
2011-04-23,O'Higgins,Union Calera,2,0
2011-04-23,Wanderers,Universidad de Concepcion,2,1
2011-04-23,Huachipato,Cobreloa,1,1
2011-04-23,Universidad de Chile,Palestino,0,0
2011-04-23,Universidad Catolica,Cobresal,5,2
2011-04-23,Iquique,Audax Italiano,2,0
2011-04-24,San Felipe,La Serena,0,1
2011-04-24,Santiago Morning,Colo Colo,0,1
2011-04-28,Audax Italiano,Wanderers,4,0
2011-04-29,O'Higgins,Iquique,0,1
2011-04-29,Unión Española,La Serena,4,3
2011-04-30,Palestino,Ñublense,1,0
2011-04-30,Universidad de Chile,Colo Colo,2,1
2011-04-30,Cobreloa,San Felipe,1,1
2011-04-30,Cobresal,Santiago Morning,1,4
2011-04-30,Universidad de Concepcion,Universidad Catolica,1,2
2011-04-30,Union Calera,Huachipato,0,0
2011-05-06,La Serena,Cobresal,2,1
2011-05-07,Huachipato,Universidad de Chile,1,2
2011-05-07,Wanderers,Cobreloa,2,0
2011-05-07,Universidad Catolica,Unión Española,0,0
2011-05-07,Iquique,Union Calera,1,0
2011-05-08,Santiago Morning,Palestino,0,4
2011-05-08,Ñublense,Audax Italiano,0,0
2011-05-08,San Felipe,Universidad de Concepcion,1,3
2011-05-08,Colo Colo,O'Higgins,5,1
2011-05-13,Universidad de Concepcion,Santiago Morning,2,1
2011-05-14,Palestino,Huachipato,1,0
2011-05-14,O'Higgins,Wanderers,1,1
2011-05-14,Colo Colo,Iquique,1,1
2011-05-15,Union Calera,Ñublense,2,0
2011-05-15,Universidad Catolica,Universidad de Chile,2,2
2011-05-15,Cobreloa,La Serena,3,3
2011-05-15,Cobresal,San Felipe,1,2
2011-05-15,Audax Italiano,Unión Española,1,3
2011-05-20,Unión Española,Universidad de Concepcion,1,1
2011-05-21,Universidad de Chile,Audax Italiano,2,1
2011-05-21,San Felipe,Palestino,2,3
2011-05-21,Huachipato,O'Higgins,2,1
2011-05-21,Iquique,Cobresal,1,1
2011-05-22,Ñublense,Colo Colo,2,3
2011-05-22,Wanderers,Union Calera,1,1
2011-05-22,Santiago Morning,Cobreloa,1,1
2011-05-22,La Serena,Universidad Catolica,2,2
2011-12-26,Cobreloa,Universidad de Chile,0,0
2011-12-29,Universidad de Chile,Cobreloa,3,0
2011-12-17,Colo Colo,Cobreloa,2,3
2011-12-18,Universidad Catolica,Universidad de Chile,1,2
2011-12-20,Cobreloa,Colo Colo,1,2
2011-12-22,Universidad de Chile,Universidad Catolica,1,2
2011-12-03,La Serena,Colo Colo,2,6
2011-12-03,Universidad Catolica,Audax Italiano,3,1
2011-12-04,Union Calera,Cobreloa,0,1
2011-12-04,Unión Española,Universidad de Chile,0,1
2011-12-10,Colo Colo,La Serena,3,1
2011-12-10,Audax Italiano,Universidad Catolica,0,1
2011-12-11,Cobreloa,Union Calera,4,3
2011-12-11,Universidad de Chile,Unión Española,3,0
2011-07-29,O'Higgins,San Felipe,3,0
2011-07-30,Palestino,Audax Italiano,0,0
2011-07-30,Universidad Catolica,Iquique,4,1
2011-07-30,Universidad de Chile,La Serena,3,0
2011-07-31,Cobreloa,Unión Española,0,0
2011-07-31,Universidad de Concepcion,Huachipato,1,1
2011-07-31,Wanderers,Ñublense,0,1
2011-07-31,Union Calera,Santiago Morning,2,0
2011-09-03,Cobresal,Colo Colo,0,2
2011-08-05,Unión Española,Palestino,0,0
2011-08-06,Huachipato,Cobresal,1,0
2011-08-06,Audax Italiano,Universidad Catolica,0,0
2011-08-06,San Felipe,Union Calera,1,1
2011-08-07,Iquique,Cobreloa,2,4
2011-08-07,O'Higgins,Santiago Morning,2,1
2011-08-07,La Serena,Universidad de Concepcion,2,0
2011-08-07,Colo Colo,Wanderers,3,1
2011-09-03,Ñublense,Universidad de Chile,1,4
2011-08-12,San Felipe,Iquique,2,1
2011-08-13,Palestino,O'Higgins,2,2
2011-08-13,Cobresal,Audax Italiano,3,2
2011-08-13,Wanderers,Unión Española,1,1
2011-08-13,Universidad Catolica,Union Calera,4,0
2011-08-14,Ñublense,Huachipato,2,4
2011-08-14,Santiago Morning,La Serena,4,1
2011-08-14,Universidad de Concepcion,Colo Colo,3,0
2011-08-14,Universidad de Chile,Cobreloa,3,1
2011-08-19,Union Calera,Cobresal,0,1
2011-08-19,Audax Italiano,La Serena,2,1
2011-08-20,Palestino,Wanderers,1,1
2011-08-20,Cobreloa,Universidad de Concepcion,1,1
2011-08-20,Huachipato,Universidad Catolica,1,1
2011-08-20,O'Higgins,Ñublense,1,1
2011-08-21,Iquique,Santiago Morning,4,2
2011-08-21,Unión Española,Universidad de Chile,0,1
2011-08-21,Colo Colo,San Felipe,2,2
2011-08-22,La Serena,Union Calera,0,0
2011-08-23,Cobreloa,Ñublense,2,0
2011-08-23,Universidad Catolica,O'Higgins,2,0
2011-08-24,Wanderers,Huachipato,2,1
2011-08-24,Universidad de Concepcion,Iquique,3,1
2011-08-24,Cobresal,Unión Española,2,2
2011-08-24,San Felipe,Audax Italiano,2,2
2011-08-24,Colo Colo,Palestino,3,1
2011-08-25,Santiago Morning,Universidad de Chile,0,2
2011-08-26,O'Higgins,La Serena,1,1
2011-08-27,Palestino,Cobresal,2,1
2011-08-27,Huachipato,Colo Colo,1,2
2011-08-27,Unión Española,San Felipe,3,0
2011-08-28,Union Calera,Cobreloa,0,1
2011-08-28,Ñublense,Iquique,1,2
2011-08-28,Wanderers,Universidad Catolica,2,0
2011-08-28,Audax Italiano,Santiago Morning,5,0
2011-08-28,Universidad de Chile,Universidad de Concepcion,2,0
2011-09-09,La Serena,Ñublense,3,1
2011-09-10,Santiago Morning,Wanderers,3,0
2011-09-10,Universidad de Concepcion,Union Calera,0,0
2011-09-10,San Felipe,Universidad de Chile,0,3
2011-09-10,Colo Colo,Unión Española,3,2
2011-09-11,Cobreloa,Audax Italiano,3,4
2011-09-11,Cobresal,O'Higgins,1,0
2011-09-11,Iquique,Huachipato,3,2
2011-09-11,Universidad Catolica,Palestino,2,1
2011-09-15,Audax Italiano,Universidad de Concepcion,2,1
2011-09-16,Huachipato,San Felipe,2,2
2011-09-16,Unión Española,Santiago Morning,1,0
2011-09-17,Universidad de Chile,Cobresal,3,1
2011-09-17,Union Calera,Colo Colo,3,0
2011-09-17,Palestino,La Serena,1,1
2011-09-17,O'Higgins,Cobreloa,2,2
2011-09-17,Wanderers,Iquique,2,2
2011-09-17,Ñublense,Universidad Catolica,2,0
2011-09-23,Audax Italiano,Union Calera,2,1
2011-09-23,La Serena,Huachipato,1,0
2011-09-23,Iquique,Unión Española,1,5
2011-09-24,Cobresal,Wanderers,3,2
2011-09-24,San Felipe,Ñublense,1,2
2011-09-24,Santiago Morning,Universidad Catolica,3,2
2011-09-24,Universidad de Concepcion,Palestino,0,0
2011-09-25,Cobreloa,Colo Colo,0,1
2011-09-25,Universidad de Chile,O'Higgins,3,0
2011-09-27,Union Calera,Unión Española,2,0
2011-09-27,Universidad Catolica,San Felipe,0,1
2011-09-28,Palestino,Cobreloa,0,2
2011-09-28,Wanderers,Universidad de Chile,1,1
2011-09-28,O'Higgins,Universidad de Concepcion,3,0
2011-09-28,Ñublense,Cobresal,0,2
2011-09-28,Iquique,La Serena,1,1
2011-09-29,Huachipato,Santiago Morning,1,3
2011-09-29,Colo Colo,Audax Italiano,3,0
2011-10-01,Cobreloa,Universidad Catolica,2,0
2011-10-01,Universidad de Concepcion,Cobresal,0,0
2011-10-01,Universidad de Chile,Iquique,2,2
2011-10-02,Union Calera,Palestino,3,2
2011-10-02,San Felipe,Wanderers,0,2
2011-10-02,La Serena,Colo Colo,4,0
2011-10-02,Santiago Morning,Ñublense,1,3
2011-10-02,Unión Española,O'Higgins,3,1
2011-10-02,Audax Italiano,Huachipato,1,1
2011-10-12,Universidad de Chile,Union Calera,3,2
2011-10-14,Huachipato,Unión Española,2,1
2011-10-15,Santiago Morning,San Felipe,1,1
2011-10-15,Wanderers,La Serena,0,2
2011-10-15,Ñublense,Universidad de Concepcion,2,1
2011-10-15,Iquique,Palestino,1,3
2011-10-16,Cobresal,Cobreloa,0,3
2011-10-16,Universidad Catolica,Colo Colo,4,0
2011-10-16,O'Higgins,Audax Italiano,0,1
2011-10-21,Audax Italiano,Iquique,3,0
2011-10-22,Union Calera,O'Higgins,1,0
2011-10-22,La Serena,San Felipe,2,1
2011-10-22,Universidad de Concepcion,Wanderers,2,2
2011-10-22,Palestino,Universidad de Chile,1,1
2011-10-22,Unión Española,Ñublense,3,1
2011-10-23,Cobresal,Universidad Catolica,2,2
2011-10-23,Cobreloa,Huachipato,1,0
2011-10-23,Colo Colo,Santiago Morning,3,1
2011-10-28,San Felipe,Cobreloa,1,1
2011-10-29,Wanderers,Audax Italiano,2,0
2011-10-29,Iquique,O'Higgins,3,2
2011-10-29,Santiago Morning,Cobresal,5,0
2011-10-29,Huachipato,Union Calera,1,0
2011-10-29,La Serena,Unión Española,3,2
2011-10-29,Ñublense,Palestino,3,1
2011-10-30,Colo Colo,Universidad de Chile,2,2
2011-10-30,Universidad Catolica,Universidad de Concepcion,2,1
2011-11-04,Audax Italiano,Ñublense,2,0
2011-11-05,Palestino,Santiago Morning,2,4
2011-11-05,Universidad de Concepcion,San Felipe,2,1
2011-11-05,Unión Española,Universidad Catolica,1,2
2011-11-05,Union Calera,Iquique,1,2
2011-11-06,Cobresal,La Serena,2,1
2011-11-06,Cobreloa,Wanderers,1,0
2011-11-06,O'Higgins,Colo Colo,2,0
2011-11-06,Universidad de Chile,Huachipato,5,3
2011-11-19,Huachipato,Palestino,0,1
2011-11-19,Iquique,Colo Colo,1,1
2011-11-19,Santiago Morning,Universidad de Concepcion,0,3
2011-11-19,Wanderers,O'Higgins,1,0
2011-11-19,La Serena,Cobreloa,2,1
2011-11-19,San Felipe,Cobresal,1,1
2011-11-19,Unión Española,Audax Italiano,5,2
2011-11-20,Universidad de Chile,Universidad Catolica,0,0
2011-11-20,Ñublense,Union Calera,1,3
2011-11-26,Universidad Catolica,La Serena,4,1
2011-11-26,Colo Colo,Ñublense,2,1
2011-11-27,Union Calera,Wanderers,1,0
2011-11-27,Cobresal,Iquique,3,3
2011-11-27,Palestino,San Felipe,1,0
2011-11-27,O'Higgins,Huachipato,4,4
2011-11-27,Universidad de Concepcion,Unión Española,2,2
2011-11-27,Cobreloa,Santiago Morning,2,1
2011-11-27,Audax Italiano,Universidad de Chile,1,1
2012-06-28,O'Higgins,Universidad de Chile,2,1
2012-07-02,Universidad de Chile,O'Higgins,2,1
2012-06-16,Unión Española,O'Higgins,1,0
2012-06-17,Colo Colo,Universidad de Chile,2,0
2012-06-23,O'Higgins,Unión Española,2,1
2012-06-24,Universidad de Chile,Colo Colo,4,0
2012-05-23,Colo Colo,Iquique,3,3
2012-05-23,Unión Española,Universidad Catolica,0,3
2012-05-24,Union Calera,O'Higgins,0,1
2012-05-27,Cobreloa,Universidad de Chile,0,2
2012-05-26,Universidad Catolica,Unión Española,1,1
2012-05-26,Iquique,Colo Colo,1,2
2012-05-27,O'Higgins,Union Calera,3,2
2012-06-11,Universidad de Chile,Cobreloa,2,1
2012-01-27,O'Higgins,Antofagasta,1,0
2012-01-28,Rangers,La Serena,2,0
2012-01-28,Palestino,Universidad Catolica,1,2
2012-01-28,Huachipato,Wanderers,2,1
2012-01-29,Cobresal,San Felipe,1,1
2012-01-29,Union Calera,Universidad de Concepcion,1,1
2012-01-29,Colo Colo,Iquique,0,0
2012-01-29,Audax Italiano,Unión Española,0,2
