Date,HT,AT,HS,AS
2008-10-05,Universidad de Concepcion,Universidad Catolica,3,5
2008-10-05,Ñublense,Unión Española,0,3
2008-10-05,Antofagasta,Audax Italiano,3,0
2008-10-05,Colo Colo,Universidad de Chile,2,0
2008-10-18,La Serena,O'Higgins,1,3
2008-10-18,Melipilla,Palestino,0,2
2008-10-18,Universidad Catolica,Rangers,2,0
2008-10-18,Universidad de Concepcion,Ñublense,1,1
2008-10-19,Audax Italiano,Universidad de Chile,0,1
2008-10-19,Cobreloa,Colo Colo,4,3
2008-10-19,Cobresal,Antofagasta,0,0
2008-10-19,Osorno,Santiago Morning,0,1
2008-10-19,Unión Española,Huachipato,3,2
2008-10-24,Colo Colo,La Serena,3,0
2008-10-24,O'Higgins,Unión Española,5,3
2008-10-25,Antofagasta,Melipilla,4,2
2008-10-25,Cobreloa,Everton,2,0
2008-10-25,Ñublense,Huachipato,0,1
2008-10-25,Palestino,Osorno,1,0
2008-10-25,Rangers,Universidad de Concepcion,2,3
2008-10-25,Santiago Morning,Audax Italiano,3,5
2008-10-25,Universidad de Chile,Universidad Catolica,2,2
2008-10-31,Melipilla,Santiago Morning,1,3
2008-11-01,Audax Italiano,Ñublense,1,1
2008-11-01,Everton,Osorno,3,1
2008-11-01,La Serena,Palestino,3,0
2008-11-01,Universidad Catolica,Cobreloa,4,3
2008-11-02,Cobresal,Universidad de Concepcion,1,3
2008-11-02,Huachipato,Colo Colo,0,2
2008-11-02,Universidad de Chile,O'Higgins,5,3
2008-11-02,Unión Española,Rangers,2,1
2008-11-08,Colo Colo,Cobresal,1,1
2008-11-08,Universidad de Concepcion,Melipilla,0,1
2008-11-09,Antofagasta,Everton,0,1
2008-11-09,Cobreloa,Audax Italiano,2,1
2008-11-09,Ñublense,Universidad Catolica,0,2
2008-11-09,O'Higgins,Huachipato,3,2
2008-11-09,Osorno,Unión Española,1,2
2008-11-09,Rangers,Universidad de Chile,1,0
2008-11-09,Santiago Morning,La Serena,3,2
2009-01-31,Curicó,Colo Colo,2,2
2009-01-31,Huachipato,Universidad de Concepcion,0,1
2009-01-31,Ñublense,Audax Italiano,2,1
2009-01-31,Everton,Unión Española,0,1
2009-02-01,Iquique,Universidad Catolica,0,4
2009-02-01,Cobresal,O'Higgins,1,1
2009-02-01,Santiago Morning,Cobreloa,2,0
2009-02-01,Rangers,La Serena,1,1
2009-04-02,Universidad de Chile,Palestino,3,0
2009-02-06,La Serena,Colo Colo,0,3
2009-02-07,Audax Italiano,Santiago Morning,1,1
2009-02-07,Palestino,O'Higgins,1,2
2009-02-07,Universidad Catolica,Cobresal,1,1
2009-02-07,Universidad de Concepcion,Everton,0,0
2009-02-08,Cobreloa,Ñublense,3,0
2009-02-08,Iquique,Curicó,1,0
2009-02-08,Unión Española,Huachipato,4,0
2009-02-18,Rangers,Universidad de Chile,0,4
2009-02-13,Everton,Iquique,1,0
2009-02-14,Colo Colo,Universidad de Concepcion,2,0
2009-02-14,La Serena,Universidad Catolica,1,2
2009-02-14,Ñublense,Santiago Morning,2,1
2009-02-14,Palestino,Audax Italiano,0,2
2009-02-15,Huachipato,Curicó,0,0
2009-02-15,Cobresal,Unión Española,1,3
2009-02-15,Universidad de Chile,Cobreloa,4,1
2009-02-15,O'Higgins,Rangers,1,0
2009-02-21,Everton,Rangers,3,2
2009-02-21,Santiago Morning,Huachipato,5,0
2009-02-21,Universidad de Concepcion,O'Higgins,2,0
2009-02-21,Unión Española,Universidad de Chile,0,1
2009-02-22,Audax Italiano,Colo Colo,2,1
2009-02-22,Cobresal,Cobreloa,1,4
2009-02-22,Curicó,La Serena,1,1
2009-02-22,Iquique,Palestino,3,0
2009-02-22,Universidad Catolica,Ñublense,1,0
2009-02-25,Cobreloa,Palestino,4,0
2009-02-25,Colo Colo,Santiago Morning,4,2
2009-02-25,La Serena,Huachipato,3,1
2009-02-25,O'Higgins,Universidad Catolica,3,1
2009-02-25,Rangers,Cobresal,1,2
2009-02-25,Unión Española,Iquique,2,0
2009-02-25,Universidad de Concepcion,Audax Italiano,3,1
2009-03-28,Ñublense,Everton,1,1
2009-04-22,Curicó,Universidad de Chile,1,3
2009-02-28,Ñublense,Cobresal,1,1
2009-02-28,Rangers,Colo Colo,2,1
2009-02-28,Universidad de Chile,Iquique,0,0
2009-03-01,Audax Italiano,Unión Española,2,2
2009-03-01,Cobreloa,La Serena,1,1
2009-03-01,Huachipato,Universidad Catolica,2,0
2009-03-01,O'Higgins,Everton,0,1
2009-03-01,Palestino,Curicó,0,4
2009-03-01,Santiago Morning,Universidad de Concepcion,5,4
2009-03-07,Everton,Universidad de Chile,1,1
2009-03-07,Universidad de Concepcion,Rangers,2,2
2009-03-07,Unión Española,Palestino,2,1
2009-03-08,Cobresal,Huachipato,0,0
2009-03-08,Curicó,Audax Italiano,1,4
2009-03-08,Iquique,Santiago Morning,2,2
2009-03-08,La Serena,Ñublense,3,0
2009-03-08,Universidad Catolica,Cobreloa,4,0
2009-03-18,Colo Colo,O'Higgins,1,1
2009-03-14,Audax Italiano,Universidad de Chile,1,2
2009-03-14,Huachipato,O'Higgins,3,0
2009-03-14,Ñublense,Iquique,2,1
2009-03-14,Palestino,Universidad de Concepcion,4,2
2009-03-15,Cobreloa,Unión Española,2,1
2009-03-15,Colo Colo,Universidad Catolica,0,1
2009-03-15,Curicó,Rangers,2,1
2009-03-15,Santiago Morning,Cobresal,3,3
2009-04-22,La Serena,Everton,1,3
2009-03-21,Universidad de Concepcion,La Serena,0,0
2009-03-21,Unión Española,Colo Colo,5,2
2009-03-22,Cobresal,Curicó,1,0
2009-03-22,Iquique,Audax Italiano,3,3
2009-03-22,O'Higgins,Cobreloa,1,1
2009-03-22,Rangers,Huachipato,1,1
2009-03-22,Santiago Morning,Palestino,5,1
2009-03-22,Universidad Catolica,Everton,1,1
2009-03-22,Universidad de Chile,Ñublense,3,0
2009-04-04,Audax Italiano,Huachipato,1,0
2009-04-04,Colo Colo,Iquique,1,2
2009-04-04,Everton,Santiago Morning,1,3
2009-04-04,La Serena,Unión Española,0,3
2009-04-04,Ñublense,Rangers,1,1
2009-04-05,Curicó,Universidad Catolica,3,2
2009-04-05,Palestino,Cobresal,2,0
2009-04-05,Universidad de Chile,O'Higgins,2,2
2009-04-05,Cobreloa,Universidad de Concepcion,2,0
2009-03-27,Huachipato,Cobreloa,3,2
2009-03-28,Iquique,Universidad de Concepcion,1,1
2009-03-28,La Serena,Palestino,0,3
2009-03-28,Rangers,Unión Española,1,3
2009-03-28,Santiago Morning,Curicó,0,1
2009-04-08,O'Higgins,Ñublense,1,0
2009-04-09,Universidad Catolica,Audax Italiano,0,2
2009-05-13,Colo Colo,Everton,1,1
2009-05-21,Cobresal,Universidad de Chile,3,2
2009-04-09,Everton,Huachipato,5,1
2009-04-11,Universidad de Chile,Santiago Morning,1,3
2009-04-11,Universidad de Concepcion,Cobresal,3,1
2009-04-11,Unión Española,O'Higgins,2,1
2009-04-12,Curicó,Cobreloa,2,0
2009-04-12,Iquique,Rangers,1,1
2009-04-12,Ñublense,Colo Colo,2,0
2009-04-12,Universidad Catolica,Palestino,4,1
2009-04-12,Audax Italiano,La Serena,1,2
2009-04-17,Huachipato,Iquique,3,1
2009-04-18,O'Higgins,Audax Italiano,1,2
2009-04-18,Rangers,Universidad Catolica,2,1
2009-04-19,Cobreloa,Everton,1,0
2009-04-19,Cobresal,La Serena,2,2
2009-04-19,Curicó,Universidad de Concepcion,0,1
2009-04-19,Palestino,Ñublense,1,1
2009-04-19,Santiago Morning,Unión Española,1,3
2009-04-19,Universidad de Chile,Colo Colo,1,3
2009-04-25,Universidad de Concepcion,Universidad de Chile,1,1
2009-04-25,Colo Colo,Huachipato,2,2
2009-04-25,Iquique,O'Higgins,3,1
2009-04-26,Audax Italiano,Cobreloa,0,0
2009-04-26,La Serena,Santiago Morning,1,4
2009-04-26,Palestino,Rangers,1,0
2009-04-26,Ñublense,Curicó,1,1
2009-04-26,Universidad Catolica,Unión Española,1,1
2009-05-06,Everton,Cobresal,1,1
2009-05-02,Cobreloa,Colo Colo,2,0
2009-05-02,Cobresal,Iquique,2,5
2009-05-02,Universidad de Chile,La Serena,3,2
2009-05-02,Huachipato,Ñublense,3,1
2009-05-02,Everton,Palestino,1,1
2009-05-03,Rangers,Audax Italiano,0,1
2009-05-03,Santiago Morning,Universidad Catolica,0,1
2009-05-03,O'Higgins,Curicó,5,3
2009-05-03,Unión Española,Universidad de Concepcion,2,1
2009-05-09,Santiago Morning,Rangers,2,1
2009-05-09,Huachipato,Palestino,4,1
2009-05-09,Colo Colo,Cobresal,5,2
2009-05-09,Audax Italiano,Everton,0,1
2009-05-09,La Serena,O'Higgins,1,2
2009-05-10,Curicó,Unión Española,1,3
2009-05-10,Universidad Catolica,Universidad de Chile,0,1
2009-05-10,Ñublense,Universidad de Concepcion,2,3
2009-05-10,Cobreloa,Iquique,0,2
2009-05-15,Universidad de Concepcion,Universidad Catolica,0,2
2009-05-16,Cobresal,Audax Italiano,1,0
2009-05-16,Palestino,Colo Colo,1,0
2009-05-16,Unión Española,Ñublense,1,2
2009-05-16,O'Higgins,Santiago Morning,3,2
2009-05-16,Iquique,La Serena,2,0
2009-05-17,Universidad de Chile,Huachipato,1,3
2009-05-17,Rangers,Cobreloa,4,1
2009-05-17,Everton,Curicó,3,2
2009-07-10,Audax Italiano,Ñublense,2,1
2009-07-11,La Serena,Rangers,2,0
2009-07-11,O'Higgins,Cobresal,2,0
2009-07-11,Universidad de Concepcion,Huachipato,2,4
2009-07-12,Cobreloa,Santiago Morning,3,0
2009-07-12,Colo Colo,Curicó,1,1
2009-07-12,Universidad Catolica,Iquique,2,0
2009-07-22,Palestino,Universidad de Chile,0,0
2009-07-23,Unión Española,Everton,0,1
2009-07-17,O'Higgins,Palestino,0,1
2009-07-18,Colo Colo,La Serena,2,1
2009-07-18,Huachipato,Unión Española,1,2
2009-07-18,Santiago Morning,Audax Italiano,0,1
2009-07-19,Cobresal,Universidad Catolica,1,1
2009-07-19,Curicó,Iquique,1,1
2009-07-19,Everton,Universidad de Concepcion,0,1
2009-07-19,Ñublense,Cobreloa,1,2
2009-07-19,Universidad de Chile,Rangers,3,5
2009-07-25,Audax Italiano,Palestino,2,2
2009-07-25,Universidad de Concepcion,Colo Colo,1,3
2009-07-26,Cobreloa,Universidad de Chile,0,3
2009-07-26,Curicó,Huachipato,1,0
